DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2007-03-08 0:00,"32,000","32,700","31,800","32,400","4,641,305"
2007-03-09 0:00,"32,900","33,000","32,300","32,500","4,005,339"
2007-03-12 0:00,"32,750","33,150","32,550","33,050","4,623,474"
2007-03-13 0:00,"32,900","33,000","32,300","32,350","4,437,223"
2007-03-14 0:00,"31,700","31,900","31,350","31,900","4,800,882"
2007-03-15 0:00,"32,150","32,350","31,850","31,850","2,782,622"
2007-03-16 0:00,"31,900","32,050","31,600","31,650","3,038,131"
2007-03-19 0:00,"31,500","31,850","31,300","31,550","4,207,685"
2007-03-20 0:00,"31,500","31,850","31,300","31,350","6,008,914"
2007-03-21 0:00,"31,650","32,300","31,600","31,900","6,900,244"
2007-03-22 0:00,"32,550","33,050","32,350","32,750","8,583,200"
2007-03-23 0:00,"32,900","33,100","32,500","32,550","4,131,885"
2007-03-26 0:00,"32,800","33,050","32,650","32,800","4,129,450"
2007-03-27 0:00,"32,750","32,800","32,450","32,600","2,353,614"
2007-03-28 0:00,"32,500","33,300","32,450","32,500","4,221,140"
2007-03-29 0:00,"32,300","32,500","31,850","32,400","4,239,393"
2007-03-30 0:00,"32,400","32,750","32,300","32,400","3,112,160"
2007-04-02 0:00,"32,750","32,800","32,300","32,350","3,333,963"
2007-04-03 0:00,"32,400","33,350","32,300","33,100","6,493,707"
2007-04-04 0:00,"33,500","34,050","33,400","33,800","7,654,806"
2007-04-05 0:00,"34,050","34,200","33,750","33,800","3,983,978"
2007-04-06 0:00,"34,000","34,050","33,300","33,400","3,160,861"
2007-04-09 0:00,"33,400","33,600","32,900","33,200","3,773,099"
2007-04-10 0:00,"33,000","33,800","32,850","33,400","5,332,747"
2007-04-11 0:00,"33,650","34,650","33,600","34,200","8,008,720"
2007-04-12 0:00,"34,150","34,400","33,800","34,100","4,174,016"
2007-04-13 0:00,"34,350","34,650","33,850","34,100","4,626,449"
2007-04-16 0:00,"34,050","34,100","33,500","33,650","5,968,063"
2007-04-17 0:00,"33,850","33,900","33,350","33,550","5,687,469"
2007-04-18 0:00,"33,500","33,550","33,050","33,200","5,546,126"
2007-04-19 0:00,"33,300","33,350","31,750","32,200","13,135,781"
2007-04-20 0:00,"32,250","32,600","32,000","32,350","5,839,748"
2007-04-23 0:00,"32,700","33,100","32,300","32,350","5,696,747"
2007-04-24 0:00,"32,150","32,200","31,500","31,750","7,995,396"
2007-04-25 0:00,"32,250","32,400","31,300","32,200","7,722,678"
2007-04-26 0:00,"32,300","32,750","31,850","32,200","6,446,199"
2007-04-27 0:00,"32,000","32,450","31,700","32,050","4,749,691"
2007-04-30 0:00,"31,900","32,200","31,800","32,050","2,193,274"
2007-05-02 0:00,"32,450","32,450","31,750","32,000","3,643,420"
2007-05-03 0:00,"32,200","32,350","31,850","31,850","3,307,683"
2007-05-04 0:00,"31,900","32,300","31,750","31,850","3,223,554"
2007-05-07 0:00,"32,100","33,550","32,050","33,300","10,312,955"
2007-05-08 0:00,"33,300","33,400","32,500","32,700","4,523,488"
2007-05-09 0:00,"32,500","32,600","32,050","32,550","4,038,513"
2007-05-10 0:00,"32,900","32,950","31,850","32,000","6,832,181"
2007-05-11 0:00,"31,700","31,800","31,400","31,700","4,464,540"
2007-05-14 0:00,"31,800","31,950","31,150","31,450","4,931,328"
2007-05-15 0:00,"31,350","31,750","31,150","31,550","3,176,004"
2007-05-16 0:00,"31,300","31,500","30,550","30,800","6,944,296"
2007-05-17 0:00,"30,800","30,800","30,000","30,250","8,666,679"
2007-05-18 0:00,"29,600","29,650","28,950","29,300","12,476,719"
2007-05-21 0:00,"28,800","29,750","28,700","29,150","6,855,853"
2007-05-22 0:00,"29,350","29,750","28,500","29,400","9,477,332"
2007-05-23 0:00,"29,450","30,100","29,100","29,450","5,998,034"
2007-05-25 0:00,"29,150","30,150","29,100","29,900","5,379,926"
2007-05-28 0:00,"30,050","30,050","29,100","29,350","5,449,928"
2007-05-29 0:00,"29,350","29,400","28,350","28,650","9,365,372"
2007-05-30 0:00,"28,550","28,650","27,700","28,250","7,569,606"
2007-05-31 0:00,"28,550","28,900","28,250","28,750","6,161,738"
2007-06-01 0:00,"29,900","30,800","29,750","30,300","15,433,445"
2007-06-04 0:00,"30,900","31,350","30,400","30,500","9,815,586"
2007-06-05 0:00,"30,800","31,600","30,650","30,800","6,665,324"
2007-06-07 0:00,"30,350","31,250","30,300","30,900","5,124,594"
2007-06-08 0:00,"30,650","31,800","30,300","31,550","8,611,266"
2007-06-11 0:00,"32,250","32,500","31,800","32,000","7,402,322"
2007-06-12 0:00,"31,500","31,950","31,000","31,450","5,688,974"
2007-06-13 0:00,"31,050","31,200","30,300","30,850","5,747,647"
2007-06-14 0:00,"31,200","31,300","30,550","30,900","5,828,082"
2007-06-15 0:00,"31,000","31,000","30,300","30,600","6,227,967"
2007-06-18 0:00,"30,850","32,100","30,650","31,850","11,729,939"
2007-06-19 0:00,"32,500","32,800","31,950","32,150","9,350,751"
2007-06-20 0:00,"32,700","32,950","32,100","32,150","8,060,920"
2007-06-21 0:00,"33,450","34,500","33,150","34,500","18,845,309"
2007-06-22 0:00,"35,200","35,350","33,700","34,700","14,047,924"
2007-06-25 0:00,"34,200","34,650","33,550","33,700","7,028,284"
2007-06-26 0:00,"34,150","34,350","32,950","34,050","6,743,839"
2007-06-27 0:00,"34,100","34,150","33,350","33,500","4,255,969"
2007-06-28 0:00,"34,200","34,350","33,600","33,900","4,400,397"
2007-06-29 0:00,"34,000","34,800","33,350","33,350","5,400,964"
2007-07-02 0:00,"33,000","33,550","32,550","33,400","4,268,886"
2007-07-03 0:00,"33,850","34,050","33,500","33,500","3,954,565"
2007-07-04 0:00,"34,200","35,000","34,150","34,950","9,822,228"
2007-07-05 0:00,"35,200","36,850","35,100","35,900","13,703,732"
2007-07-06 0:00,"36,950","37,700","36,550","37,600","12,637,910"
2007-07-09 0:00,"38,250","38,650","36,800","37,400","10,001,749"
2007-07-10 0:00,"37,800","38,050","36,900","37,700","5,585,871"
2007-07-11 0:00,"37,300","38,800","37,200","38,200","7,312,966"
2007-07-12 0:00,"38,650","39,350","38,550","38,800","6,062,962"
